original_url,new_url,filename,source_post,alt,caption,status
"https://electriciantimes.com/wp-content/uploads/2024/01/Which-sockets-are-best-to-choose-for-an-apartment-or-house.webp","/wp-content/uploads/2024/01/Which-sockets-are-best-to-choose-for-an-apartment-or-house.webp","Which-sockets-are-best-to-choose-for-an-apartment-or-house.webp","which-sockets-are-best-to-choose-firm-ratings","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Manufacturers-rating.webp","/wp-content/uploads/2024/01/Manufacturers-rating.webp","Manufacturers-rating.webp","which-sockets-are-best-to-choose-firm-ratings","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Junior-group.webp","/wp-content/uploads/2024/01/Junior-group.webp","Junior-group.webp","which-sockets-are-best-to-choose-firm-ratings","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Which-sockets-are-best-to-choose-for-an-apartment-or-house-1.webp","/wp-content/uploads/2024/01/Which-sockets-are-best-to-choose-for-an-apartment-or-house-1.webp","Which-sockets-are-best-to-choose-for-an-apartment-or-house-1.webp","featured:which-sockets-are-best-to-choose-firm-ratings","Which sockets are best to choose? Firm ratings","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Security-zones-of-power-lines-and-rules-for-staying-in-them.webp","/wp-content/uploads/2024/01/Security-zones-of-power-lines-and-rules-for-staying-in-them.webp","Security-zones-of-power-lines-and-rules-for-staying-in-them.webp","security-zones-of-power-lines-and-rules-for-staying-in-them","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/cscreenshot-q7bb.webp","/wp-content/uploads/2024/01/cscreenshot-q7bb.webp","cscreenshot-q7bb.webp","security-zones-of-power-lines-and-rules-for-staying-in-them","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Security-zones-of-power-lines-and-rules-for-staying-in-them-1.webp","/wp-content/uploads/2024/01/Security-zones-of-power-lines-and-rules-for-staying-in-them-1.webp","Security-zones-of-power-lines-and-rules-for-staying-in-them-1.webp","featured:security-zones-of-power-lines-and-rules-for-staying-in-them","Security zones of power lines and rules for staying in them","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/DIY-electric-heated-floor-1.webp","/wp-content/uploads/2024/01/DIY-electric-heated-floor-1.webp","DIY-electric-heated-floor-1.webp","diy-electric-heated-floor","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Reinforcement.webp","/wp-content/uploads/2024/01/Reinforcement.webp","Reinforcement.webp","diy-electric-heated-floor","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Filling-skirt.webp","/wp-content/uploads/2024/01/Filling-skirt.webp","Filling-skirt.webp","diy-electric-heated-floor","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Filling-skirt-1.webp","/wp-content/uploads/2024/01/Filling-skirt-1.webp","Filling-skirt-1.webp","diy-electric-heated-floor","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/DIY-electric-heated-floor.webp","/wp-content/uploads/2024/01/DIY-electric-heated-floor.webp","DIY-electric-heated-floor.webp","featured:diy-electric-heated-floor","DIY electric heated floor","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Difavtomat-or-UZO.-RCD-device.-Connecting-the-differential-1.webp","/wp-content/uploads/2024/01/Difavtomat-or-UZO.-RCD-device.-Connecting-the-differential-1.webp","Difavtomat-or-UZO.-RCD-device.-Connecting-the-differential-1.webp","difavtomat-or-uzo-rcd-device-connecting-the-differential","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Basic-information-about-the-RCD-device.webp","/wp-content/uploads/2024/01/Basic-information-about-the-RCD-device.webp","Basic-information-about-the-RCD-device.webp","difavtomat-or-uzo-rcd-device-connecting-the-differential","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Differences-between-the-two-protection-systems.webp","/wp-content/uploads/2024/01/Differences-between-the-two-protection-systems.webp","Differences-between-the-two-protection-systems.webp","difavtomat-or-uzo-rcd-device-connecting-the-differential","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/vdsc-v7a027.webp","/wp-content/uploads/2024/01/vdsc-v7a027.webp","vdsc-v7a027.webp","difavtomat-or-uzo-rcd-device-connecting-the-differential","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Volume-occupied-by-the-device-in-the-panel.webp","/wp-content/uploads/2024/01/Volume-occupied-by-the-device-in-the-panel.webp","Volume-occupied-by-the-device-in-the-panel.webp","difavtomat-or-uzo-rcd-device-connecting-the-differential","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Difavtomat-or-UZO.-RCD-device.-Connecting-the-differential.webp","/wp-content/uploads/2024/01/Difavtomat-or-UZO.-RCD-device.-Connecting-the-differential.webp","Difavtomat-or-UZO.-RCD-device.-Connecting-the-differential.webp","featured:difavtomat-or-uzo-rcd-device-connecting-the-differential","Difavtomat or UZO. RCD device. Connecting the differential","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Review-of-PUE-standards-for-grounding-loop-1.webp","/wp-content/uploads/2024/01/Review-of-PUE-standards-for-grounding-loop-1.webp","Review-of-PUE-standards-for-grounding-loop-1.webp","review-of-pue-standards-for-grounding-loop","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Standards-regarding-ground-loops.webp","/wp-content/uploads/2024/01/Standards-regarding-ground-loops.webp","Standards-regarding-ground-loops.webp","review-of-pue-standards-for-grounding-loop","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Standards-regarding-ground-loopa.webp","/wp-content/uploads/2024/01/Standards-regarding-ground-loopa.webp","Standards-regarding-ground-loopa.webp","review-of-pue-standards-for-grounding-loop","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Standards-regarding-ground-loopa-1.webp","/wp-content/uploads/2024/01/Standards-regarding-ground-loopa-1.webp","Standards-regarding-ground-loopa-1.webp","review-of-pue-standards-for-grounding-loop","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Review-of-PUE-standards-for-grounding-loop.webp","/wp-content/uploads/2024/01/Review-of-PUE-standards-for-grounding-loop.webp","Review-of-PUE-standards-for-grounding-loop.webp","featured:review-of-pue-standards-for-grounding-loop","Review of PUE standards for grounding loop","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Comparison-of-the-three-best-smart-meters-of-2023.webp","/wp-content/uploads/2024/01/Comparison-of-the-three-best-smart-meters-of-2023.webp","Comparison-of-the-three-best-smart-meters-of-2023.webp","comparison-of-three-best-smart-meters-of-2023","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Comparison-of-the-three-best-smart-meters-of-2023-1.webp","/wp-content/uploads/2024/01/Comparison-of-the-three-best-smart-meters-of-2023-1.webp","Comparison-of-the-three-best-smart-meters-of-2023-1.webp","featured:comparison-of-three-best-smart-meters-of-2023","Comparison of the three best smart meters of 2023","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/PS-110-kV-1024x520.webp","/wp-content/uploads/2024/01/PS-110-kV-1024x520.webp","PS-110-kV-1024x520.webp","digital-substations-pros-and-cons","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/PS-110-kV.webp","/wp-content/uploads/2024/01/PS-110-kV.webp","PS-110-kV.webp","digital-substations-pros-and-cons","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Open-switchgear-at-the-substation-OSU.webp","/wp-content/uploads/2024/01/Open-switchgear-at-the-substation-OSU.webp","Open-switchgear-at-the-substation-OSU.webp","digital-substations-pros-and-cons","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Equipment-of-JINGUYUAN-substation-in-China.webp","/wp-content/uploads/2024/01/Equipment-of-JINGUYUAN-substation-in-China.webp","Equipment-of-JINGUYUAN-substation-in-China.webp","digital-substations-pros-and-cons","","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Digital-substations.webp","/wp-content/uploads/2024/01/Digital-substations.webp","Digital-substations.webp","featured:digital-substations-pros-and-cons","Digital substations","","found"
"https://electriciantimes.com/wp-content/uploads/2024/01/Artificial-intelligence-and-neural-networks.webp","/wp-content/uploads/2024/01/Artificial-intelligence-and-neural-networks.webp","Artificial-intelligence-and-neural-networks.webp","artificial-intelligence-problems","Artificial-intelligence-and-neural-networks","","found"
