url,current_title,primary_issue,recommended_update,risk_level,facts_need_verification,internal_link_opportunities,priority
"/natasha-fester-car-accident/","Natasha Fester Car Accident","Contained unfilled AI placeholder ""[Insert Potential Fault...]"" (fragment auto-removed during migration); topic is off-scope for the site and concerns a real person","Editorial decision: rewrite responsibly, noindex, or remove with 301/410. Verify every factual claim about the individual before keeping it live","high","yes","none appropriate","1"
"/electrician-newcastle-your-trusted-electrical-expert/","Electrician Newcastle - Your Trusted Electrical Expert","Near-duplicate of /electrician-newcastle-your-trusted-electrical-experts-2/ (same Yoast description; duplicate-description warning in validation)","Consolidate: keep one URL, 301 the other to it, or rewrite the -2 variant to differentiate","medium","no","link to relevant safety/wiring guides","2"
"/electrician-newcastle-your-trusted-electrical-experts-2/","Electrician Newcastle - Your Trusted Electrical Experts","See above — duplicate pair","See above","medium","no","see above","2"
"/how-to-calculate-wire-cross-section/","How to calculate wire cross-section","Thin content (~300 words) on a high-value core topic","Expand with worked examples, voltage-drop explanation, aluminum vs copper note; already receives new internal links","low","yes (any ampacity figures must be verified against local standards)","aluminum-vs-copper-wiring-differences; electrical-wire-colors-us-uk-eu-compared","2"
"/what-is-prom-an-in-depth-look-at-programmable-read-only-memory-in-computers/","What is PROM...","MS Word paste artifacts (conditional comments removed in migration; fake bullet lists remain as plain paragraphs)","Reformat pseudo-lists into real <ul> lists; verify rendering","low","no","4s0101-chip; semiconductors post","3"
"/comparison-of-three-best-smart-meters-of-2023/","Comparison of three best smart meters of 2023","Dated title (2023) on an indexed URL","Refresh the models reviewed and note update date in content; do NOT change the URL","medium","yes (current product availability)","how-to-read-your-electricity-meter","3"
"/review-of-pue-standards-for-grounding-loop/","Review of PUE standards for grounding loop","Based on Russian PUE standards without saying so prominently; international readers may misapply","Add a jurisdiction note at the top clarifying PUE is the Russian wiring code; link to the new TN/TT/IT overview","low","no","earthing-systems-explained-tn-tt-it","2"
"/standards-regarding-ground-loops/","Standards regarding ground loops","Same PUE-centric framing as above","Same jurisdiction note treatment","low","no","earthing-systems-explained-tn-tt-it","2"
"/which-sockets-are-best-to-choose-firm-ratings/","Which sockets are best to choose? Firm ratings","Prices in rubles; brand availability dated; empty theme cover block in content","Add a note that pricing reflects the original market/date; tidy empty cover block; consider refreshed brand availability","medium","yes (brand/product availability)","why-does-the-socket-spark-7-reasons-for-sparking","3"
"/10-interesting-facts-about-mary-joan-martelly-you-didnt-know/","10 Interesting Facts About Mary Joan Martelly","Off-topic celebrity content about a real person; thin E-E-A-T fit for an electrical site","Editorial decision: verify facts or remove with 301 to home/category; do not expand","high","yes","none appropriate","2"
"/a-beginners-guide-to-using-muchotorrents-safely/","A Beginner's Guide to Using MuchoTorrents Safely","Off-topic guest post (torrenting) — brand-safety and topical-authority drag","Editorial decision: keep (guest-post revenue) vs noindex vs remove; no rewrite planned","medium","no","none appropriate","3"
"/uncategorized posts (2)","(two posts in Uncategorized)","Posts assigned to Uncategorized category","Assign a real primary category (URL unaffected — category is not in the post URL)","low","no","n/a","3"
