proposed_title,target_query,search_intent,topic_cluster,parent_category,suggested_slug,related_existing_posts,reason,authoritative_sources_needed,status
"Electrical Wire Colors by Country: US, UK and EU Standards Compared","wire colors by country / live wire color","informational","Wiring","wire","electrical-wire-colors-us-uk-eu-compared","why-is-wire-color-coding-used; how-to-connect-wires-correctly-to-each-other-7-time-tested-methods","Existing color-coding post explains WHY but not the actual regional color systems; high-volume evergreen query","Electrical Safety First (verified)","published"
"RCD vs RCBO vs GFCI: What's the Difference?","rcd vs rcbo vs gfci","informational","Protective devices","device","rcd-vs-rcbo-vs-gfci-differences","difavtomat-or-uzo-rcd-device-connecting-the-differential; understanding-circuit-breakers-types-and-functions","Terminology hub connecting existing RCD and breaker posts; strong cross-region search demand","Electrical Safety First; ESFI (verified)","published"
"Why Your Circuit Breaker Keeps Tripping: 7 Common Causes","circuit breaker keeps tripping","informational/troubleshooting","Protective devices","electrical","why-circuit-breaker-keeps-tripping","understanding-circuit-breakers-types-and-functions; why-does-the-socket-spark-7-reasons-for-sparking","Classic troubleshooting query; site already ranks for breaker basics","ESFI (verified)","published"
"Aluminum vs Copper Wiring: Differences, Risks and Where Each Is Used","aluminum vs copper wiring","informational","Cables & wires","wire","aluminum-vs-copper-wiring-differences","how-to-calculate-wire-cross-section; hs-classification-of-electrical-cables-what-you-need-to-know","Complements cross-section calculator without overlapping it; evergreen comparison","none (physics/material facts only)","published"
"Extension Cord Safety: How to Use Extension Leads Without Risk","extension cord safety","informational","Electrical safety","electricial-safety","extension-cord-safety-guide","why-does-the-socket-spark-7-reasons-for-sparking; 10-electrical-safety-tips-when-installing-or-maintaining-a-split-system-air-conditioner","Safety category is underweighted; ESFI/HSE citations available","ESFI; HSE (verified)","published"
"Earthing Systems Explained: TN, TT and IT Networks","earthing systems tn tt it","informational","Grounding","electrical","earthing-systems-explained-tn-tt-it","a-comprehensive-guide-to-installing-protective-grounding; do-it-yourself-grounding-device-in-a-private-house; review-of-pue-standards-for-grounding-loop","Internationalizes the PUE-centric grounding cluster; IEC terminology is stable","none (IEC terminology described generically)","published"
"Why LED Lights Flicker: Causes and How to Fix Them","led lights flickering","informational/troubleshooting","Lighting","led","led-lights-flickering-causes-fixes","how-to-repair-an-led-flood-light-a-simple-and-easy-guide; refinement-of-led-lamp-circuits","Mainstream LED problem missing from hobbyist-skewed LED cluster","none","published"
"How to Read Your Electricity Meter: Dials, Digital and Smart Meters","how to read electricity meter","informational","Metering","meters","how-to-read-your-electricity-meter","how-to-connect-a-home-electricity-meter; comparison-of-three-best-smart-meters-of-2023","Basics article missing under meters category; evergreen","none","published"
"Home Electrical Safety Checklist: 12 Warning Signs to Take Seriously","electrical safety checklist home","informational","Electrical safety","electricial-safety","home-electrical-safety-checklist","why-does-the-socket-spark-7-reasons-for-sparking; why-circuit-breaker-keeps-tripping; extension-cord-safety-guide","Flagship safety article; links the whole safety cluster together","HSE; ESFI; Electrical Safety First (verified)","published"
"Essential Tools Every Apprentice Electrician Needs","apprentice electrician tools list","informational/commercial","Tools","blog","essential-tools-for-apprentice-electricians","a-closer-look-at-the-best-klein-tool-bags-on-the-market","Beginner angle missing from tools coverage; supports existing tool reviews","none","published"
